Method, File Size (KB), Mean (ms), Stddev (ms)
read_readahead 40 Kb, 160, 577.281071, 61.106290
read_readahead 48 Kb, 160, 544.503270, 31.108159
read_readahead 56 Kb, 160, 567.227058, 61.219425
read_readahead 64 Kb, 160, 577.207210, 51.165850
read_readahead 256 Kb, 160, 571.273155, 81.387644
read_readahead 1024 Kb, 160, 492.618951, 58.812961
read_readahead 4096 Kb, 160, 481.102096, 65.317641
read_readahead 16384 Kb, 160, 554.725694, 71.423071
read_readahead 65536 Kb, 160, 544.003948, 55.575290
read_rdadvise 4 Kb, 160, 515.349331, 100.919308
read_rdadvise 8 Kb, 160, 474.499597, 73.242764
read_rdadvise 12 Kb, 160, 543.487429, 108.728663
read_rdadvise 16 Kb, 160, 525.700500, 107.413912
read_rdadvise 24 Kb, 160, 460.607297, 75.453579
read_rdadvise 32 Kb, 160, 468.655056, 72.529017
read_rdadvise 40 Kb, 160, 545.149025, 118.733399
read_rdadvise 48 Kb, 160, 518.588335, 93.430442
read_rdadvise 56 Kb, 160, 445.350968, 42.136928
read_rdadvise 64 Kb, 160, 530.274536, 102.610718
read_rdadvise 256 Kb, 160, 481.408500, 76.379433
read_rdadvise 1024 Kb, 160, 549.166270, 138.680044
read_rdadvise 4096 Kb, 160, 454.282738, 80.479184
read_rdadvise 16384 Kb, 160, 501.591404, 79.773767
read_rdadvise 65536 Kb, 160, 505.235445, 91.589042
read_async_nocache 4 Kb, 160, 3948.642066, 434.761658
read_async_nocache 8 Kb, 160, 2409.751398, 62.163131
read_async_nocache 12 Kb, 160, 1768.341811, 57.345784
read_async_nocache 16 Kb, 160, 1430.740843, 59.941638
read_async_nocache 24 Kb, 160, 1030.746842, 70.869046
read_async_nocache 32 Kb, 160, 850.355082, 55.744987
read_async_nocache 40 Kb, 160, 733.718123, 58.147913
read_async_nocache 48 Kb, 160, 681.258675, 91.115856
read_async_nocache 56 Kb, 160, 674.557860, 62.665508
read_async_nocache 64 Kb, 160, 624.714897, 87.879896
read_async_nocache 256 Kb, 160, 717.066618, 94.820651
read_async_nocache 1024 Kb, 160, 546.603302, 122.614050
read_async_nocache 4096 Kb, 160, 476.676282, 76.748233
read_async_nocache 16384 Kb, 160, 438.705672, 68.186338
read_async_nocache 65536 Kb, 160, 535.061242, 83.377406
read_async_rdahead 4 Kb, 160, 562.153276, 84.645932
read_async_rdahead 8 Kb, 160, 540.319882, 58.684347
read_async_rdahead 12 Kb, 160, 614.231643, 103.584580
read_async_rdahead 16 Kb, 160, 546.409799, 75.729988
read_async_rdahead 24 Kb, 160, 568.630204, 91.961965
read_async_rdahead 32 Kb, 160, 529.161745, 63.981128
read_async_rdahead 40 Kb, 160, 535.189458, 51.793230
read_async_rdahead 48 Kb, 160, 590.308583, 91.308649
read_async_rdahead 56 Kb, 160, 565.990887, 65.169615
read_async_rdahead 64 Kb, 160, 585.407889, 67.817813
read_async_rdahead 256 Kb, 160, 546.257543, 83.553310
read_async_rdahead 1024 Kb, 160, 499.103177, 72.873968
read_async_rdahead 4096 Kb, 160, 395.371730, 38.185633
read_async_rdahead 16384 Kb, 160, 448.909402, 62.433671
read_async_rdahead 65536 Kb, 160, 587.849326, 81.022996
read_async_rdadvise 4 Kb, 160, 569.400074, 84.112969
read_async_rdadvise 8 Kb, 160, 531.903284, 114.910424
read_async_rdadvise 12 Kb, 160, 492.465008, 97.604145
read_async_rdadvise 16 Kb, 160, 501.409904, 97.347394
read_async_rdadvise 24 Kb, 160, 532.283293, 90.129872
read_async_rdadvise 32 Kb, 160, 529.352337, 120.453850
read_async_rdadvise 40 Kb, 160, 436.817743, 62.186985
read_async_rdadvise 48 Kb, 160, 464.399616, 76.325012
read_async_rdadvise 56 Kb, 160, 485.577588, 112.733044
read_async_rdadvise 64 Kb, 160, 528.911384, 115.813319
read_async_rdadvise 256 Kb, 160, 463.255137, 81.965627
read_async_rdadvise 1024 Kb, 160, 521.495955, 111.302102
read_async_rdadvise 4096 Kb, 160, 512.125934, 106.694342
read_async_rdadvise 16384 Kb, 160, 500.680136, 97.735664
read_async_rdadvise 65536 Kb, 160, 492.606505, 77.374330
read_plain 4 Kb, 192, 650.043148, 58.816421
read_plain 8 Kb, 192, 729.760900, 77.888358
read_plain 12 Kb, 192, 698.359704, 97.097333
read_plain 16 Kb, 192, 692.412349, 74.034600
read_plain 24 Kb, 192, 658.563305, 39.321846
read_plain 32 Kb, 192, 678.993048, 48.679309
read_plain 40 Kb, 192, 692.010899, 88.967396
read_plain 48 Kb, 192, 670.981527, 50.463081
read_plain 56 Kb, 192, 678.284256, 55.421287
read_plain 64 Kb, 192, 629.356429, 27.465633
read_plain 256 Kb, 192, 630.825778, 32.639924
read_plain 1024 Kb, 192, 652.882853, 97.246452
read_plain 4096 Kb, 192, 581.619124, 54.103207
read_plain 16384 Kb, 192, 601.298413, 51.444225
read_plain 65536 Kb, 192, 691.256770, 92.172329
read_nocache 4 Kb, 192, 5485.604659, 146.810773
read_nocache 8 Kb, 192, 2927.807320, 22.595271
read_nocache 12 Kb, 192, 2172.030397, 53.100572
read_nocache 16 Kb, 192, 1784.125475, 25.757559
read_nocache 24 Kb, 192, 1397.763566, 62.079148
read_nocache 32 Kb, 192, 1157.871476, 51.147857
read_nocache 40 Kb, 192, 1068.150818, 51.810727
read_nocache 48 Kb, 192, 981.814945, 68.431514
read_nocache 56 Kb, 192, 992.885193, 92.355288
read_nocache 64 Kb, 192, 858.802653, 47.801025
read_nocache 256 Kb, 192, 1063.669469, 111.052467
read_nocache 1024 Kb, 192, 646.061361, 53.096839
read_nocache 4096 Kb, 192, 704.940347, 82.353008
read_nocache 16384 Kb, 192, 686.622579, 85.781144
read_nocache 65536 Kb, 192, 674.030526, 108.566360
read_readahead 4 Kb, 192, 712.306583, 82.966938
read_readahead 8 Kb, 192, 698.057837, 46.108784
read_readahead 12 Kb, 192, 694.484308, 76.063272
read_readahead 16 Kb, 192, 712.319182, 76.737945
read_readahead 24 Kb, 192, 693.696224, 38.640632
read_readahead 32 Kb, 192, 692.540248, 81.287599
read_readahead 40 Kb, 192, 677.027025, 59.531698
read_readahead 48 Kb, 192, 768.231502, 72.421864
read_readahead 56 Kb, 192, 690.758228, 66.384882
read_readahead 64 Kb, 192, 658.570148, 45.710245
read_readahead 256 Kb, 192, 715.326467, 94.962493
read_readahead 1024 Kb, 192, 632.287898, 90.517853
read_readahead 4096 Kb, 192, 611.628296, 68.314101
read_readahead 16384 Kb, 192, 653.983014, 76.350736
read_readahead 65536 Kb, 192, 660.765909, 60.539722
read_rdadvise 4 Kb, 192, 660.309182, 105.992799
read_rdadvise 8 Kb, 192, 548.960514, 64.652478
read_rdadvise 12 Kb, 192, 651.945605, 115.718116
read_rdadvise 16 Kb, 192, 576.590243, 73.277433
read_rdadvise 24 Kb, 192, 661.681484, 133.639128
read_rdadvise 32 Kb, 192, 606.575633, 87.371662
read_rdadvise 40 Kb, 192, 704.680174, 119.546490
read_rdadvise 48 Kb, 192, 621.925406, 104.878607
read_rdadvise 56 Kb, 192, 601.839180, 79.432195
read_rdadvise 64 Kb, 192, 607.854399, 74.067032
read_rdadvise 256 Kb, 192, 632.110463, 138.966234
read_rdadvise 1024 Kb, 192, 559.132873, 73.701687
read_rdadvise 4096 Kb, 192, 618.077938, 120.129083
read_rdadvise 16384 Kb, 192, 592.726360, 97.986813
read_rdadvise 65536 Kb, 192, 714.429387, 96.964645
read_async_nocache 4 Kb, 192, 5251.950370, 825.705536
read_async_nocache 8 Kb, 192, 2976.398114, 183.996280
read_async_nocache 12 Kb, 192, 2088.576791, 67.657187
read_async_nocache 16 Kb, 192, 1640.264211, 79.471962
read_async_nocache 24 Kb, 192, 1300.639788, 75.519462
read_async_nocache 32 Kb, 192, 995.579912, 50.489842
read_async_nocache 40 Kb, 192, 922.106832, 74.661997
read_async_nocache 48 Kb, 192, 901.646490, 133.200815
read_async_nocache 56 Kb, 192, 805.307807, 93.675951
read_async_nocache 64 Kb, 192, 722.566879, 70.942064
read_async_nocache 256 Kb, 192, 844.030163, 60.161712
read_async_nocache 1024 Kb, 192, 630.320719, 119.809974
